LOCATION,Country,Value,GDPPerCapita
GRC,Greece,6,
HUN,Hungary,6.3,
ISL,Iceland,7.4,
IRL,Ireland,6.9,
ITA,Italy,6.4,
JPN,Japan,5.9,
KOR,Korea,5.4,
LUX,Luxembourg,7.4,
MEX,Mexico,6.3,
NLD,Netherlands,7.6,
NZL,New Zealand,7.1,
NOR,Norway,7.3,
POL,Poland,6.3,
PRT,Portugal,6,
SVK,Slovak Republic,6.5,
ESP,Spain,6.4,
SWE,Sweden,7.3,
CHE,Switzerland,7.5,
TUR,Türkiye,4.3,
GBR,United Kingdom,6.7,
USA,United States,7,
BRA,Brazil,6.2,
CHL,Chile,6.2,
EST,Estonia,6.3,
ISR,Israel,7.2,
LVA,Latvia,6.3,
RUS,Russia,5.3,
SVN,Slovenia,6.5,
ZAF,South Africa,4.9,
OECD,OECD - Total,6.7,
AUS,Australia,7.2,
AUT,Austria,7.3,
BEL,Belgium,6.8,
CAN,Canada,7,
CZE,Czechia,6.9,
DNK,Denmark,7.6,
FIN,Finland,8.1,
FRA,France,6.7,
DEU,Germany,7.3,
GRC,Greece,5.6,
HUN,Hungary,5.8,
ISL,Iceland,7.7,
IRL,Ireland,7.2,
ITA,Italy,6.5,
JPN,Japan,6.3,
KOR,Korea,6.2,
LUX,Luxembourg,7.4,
MEX,Mexico,5.6,
NLD,Netherlands,7.4,
NZL,New Zealand,7.4,
NOR,Norway,7.3,
POL,Poland,6,
PRT,Portugal,5.6,
SVK,Slovak Republic,6.6,
ESP,Spain,6.6,
SWE,Sweden,7.3,
CHE,Switzerland,7.5,
TUR,Türkiye,5.4,
GBR,United Kingdom,6.9,
USA,United States,7.1,
BRA,Brazil,6,
CHL,Chile,6.1,
EST,Estonia,6.6,
ISR,Israel,7.2,
LVA,Latvia,6.2,
RUS,Russia,5.6,
SVN,Slovenia,6.4,
ZAF,South Africa,5,
OECD,OECD - Total,6.7,
AUS,Australia,7.4,
AUT,Austria,7.6,
BEL,Belgium,7.2,
CAN,Canada,7.3,
CZE,Czechia,7.6,
DNK,Denmark,7.6,
FIN,Finland,8.5,
FRA,France,7,
DEU,Germany,7.8,
GRC,Greece,6.5,
HUN,Hungary,6.9,
ISL,Iceland,7.8,
IRL,Ireland,7.3,
ITA,Italy,7.1,
JPN,Japan,6.5,
KOR,Korea,6.3,
LUX,Luxembourg,7.8,
MEX,Mexico,7,
NLD,Netherlands,7.8,
NZL,New Zealand,7.3,
NOR,Norway,7.4,
POL,Poland,6.6,
PRT,Portugal,6.7,
SVK,Slovak Republic,6.9,
ESP,Spain,7.1,
SWE,Sweden,7.6,
CHE,Switzerland,7.6,
TUR,Türkiye,5.8,
GBR,United Kingdom,7.2,
USA,United States,7.5,
BRA,Brazil,6.9,
CHL,Chile,6.9,
EST,Estonia,7,
ISR,Israel,7.5,
LVA,Latvia,6.6,
RUS,Russia,5.9,
ZAF,South Africa,5.6,
OECD,OECD - Total,7.2,
AUS,Australia,7,
AUT,Austria,7.2,
BEL,Belgium,6.7,
CAN,Canada,6.9,
CZE,Czechia,6.9,
DNK,Denmark,7.5,
FIN,Finland,7.9,
FRA,France,6.7,
DEU,Germany,7.2,
GRC,Greece,5.7,
HUN,Hungary,6,
IRL,Ireland,7,
ITA,Italy,6.7,
JPN,Japan,6.1,
KOR,Korea,5.5,
LUX,Luxembourg,7.3,
MEX,Mexico,6.2,
NLD,Netherlands,7.4,
NZL,New Zealand,7.2,
NOR,Norway,7.2,
POL,Poland,6,
PRT,Portugal,6,
SVK,Slovak Republic,6.4,
ESP,Spain,6.7,
SWE,Sweden,7.2,
CHE,Switzerland,7.4,
TUR,Türkiye,4.8,
GBR,United Kingdom,6.7,
USA,United States,6.9,
BRA,Brazil,6.4,
CHL,Chile,6.1,
EST,Estonia,6.1,
ISR,Israel,7.2,
LVA,Latvia,6,
RUS,Russia,5.3,
SVN,Slovenia,6.5,
ZAF,South Africa,4.9,
OECD,OECD - Total,6.6,
AUS,Australia,0.9,
AUT,Austria,0.5,
BEL,Belgium,1.1,
CAN,Canada,1.2,
CZE,Czechia,0.7,
DNK,Denmark,0.5,
FIN,Finland,1.2,
FRA,France,0.4,
DEU,Germany,0.4,
GRC,Greece,1,
HUN,Hungary,0.9,
ISL,Iceland,0.3,
IRL,Ireland,0.5,
ITA,Italy,0.5,
JPN,Japan,0.2,
KOR,Korea,0.8,
LUX,Luxembourg,0.2,
MEX,Mexico,26.8,
NLD,Netherlands,0.6,
NZL,New Zealand,1.3,
NOR,Norway,0.6,
POL,Poland,0.5,
PRT,Portugal,0.7,
SVK,Slovak Republic,0.8,
ESP,Spain,0.7,
SWE,Sweden,1.1,
CHE,Switzerland,0.3,
TUR,Türkiye,1,
GBR,United Kingdom,0.2,
USA,United States,6,
BRA,Brazil,19,
CHL,Chile,2.4,
EST,Estonia,1.9,
ISR,Israel,1.5,
LVA,Latvia,3.7,
RUS,Russia,4.8,
SVN,Slovenia,0.4,
ZAF,South Africa,13.7,
OECD,OECD - Total,2.6,
AUS,Australia,1.3,
AUT,Austria,0.5,
BEL,Belgium,1.4,
CAN,Canada,1.8,
CZE,Czechia,0.8,
DNK,Denmark,0.7,
FIN,Finland,1.8,
FRA,France,0.6,
DEU,Germany,0.4,
GRC,Greece,1.6,
HUN,Hungary,1.1,
ISL,Iceland,0.5,
IRL,Ireland,0.8,
ITA,Italy,0.7,
JPN,Japan,0.2,
KOR,Korea,0.9,
LUX,Luxembourg,0.3,
MEX,Mexico,50.5,
NLD,Netherlands,0.8,
NZL,New Zealand,1.6,
NOR,Norway,0.7,
POL,Poland,0.8,
PRT,Portugal,1,
SVK,Slovak Republic,1,
ESP,Spain,0.9,
SWE,Sweden,1.5,
CHE,Switzerland,0.4,
TUR,Türkiye,1.5,
GBR,United Kingdom,0.2,
USA,United States,9.5,
BRA,Brazil,35.5,
CHL,Chile,4.2,
EST,Estonia,3.1,
ISR,Israel,2.4,
LVA,Latvia,5.8,
RUS,Russia,7.7,
SVN,Slovenia,0.5,
ZAF,South Africa,24.7,
OECD,OECD - Total,4.4,
AUS,Australia,0.6,
AUT,Austria,0.5,
BEL,Belgium,0.8,
CAN,Canada,0.7,
CZE,Czechia,0.6,
DNK,Denmark,0.4,
FIN,Finland,0.7,
FRA,France,0.3,
DEU,Germany,0.3,
GRC,Greece,0.4,
HUN,Hungary,0.7,
ISL,Iceland,1.2,
IRL,Ireland,0.1,
ITA,Italy,0.3,
JPN,Japan,0.2,
KOR,Korea,0.7,
LUX,Luxembourg,0.2,
MEX,Mexico,5.5,
NLD,Netherlands,0.4,
